gender;category;event;pool;total_results;ponderated best;best results
M;M35;50FA;50;26; 0'31"98;30"40;31"00;32"10;32"20;32"30;32"30
M;M40;50FA;50;26; 0'31"42;27"70;30"80;31"30;31"40;31"70;31"90
M;M45;50FA;50;11; 0'33"44;27"00;32"20;32"20;32"70;32"70;37"40
M;M50;50FA;50;8; 0'36"56;31"20;34"40;34"90;35"90;36"90;40"70
M;OVER;50FA;50;8; 0'52"14;48"80;50"30;52"10;52"30;52"90;53"10
M;SEN;100FA;50;4; 1'28"60;1'13"50;1'23"20;1'24"40;1'53"30
M;M20;100FA;50;10; 1'10"40;1'07"20;1'08"90;1'09"00;1'10"50;1'11"10;1'12"50
M;M25;100FA;50;7; 1'15"54;1'06"20;1'07"30;1'11"10;1'18"10;1'19"00;1'22"20
M;M30;100FA;50;8; 1'22"56;1'09"20;1'15"10;1'23"30;1'23"30;1'25"30;1'25"80
M;M35;100FA;50;8; 1'30"00;1'12"60;1'17"40;1'20"20;1'31"60;1'36"00;1'44"80
M;M40;100FA;50;8; 1'17"26;1'01"50;1'01"90;1'13"20;1'16"40;1'23"10;1'31"70
M;M45;100FA;50;2; 1'10"05;1'08"00;1'12"10
M;M50;100FA;50;2; 1'26"65;1'20"60;1'32"70
M;OVER;100FA;50;1; 2'08"30;2'08"30
M;SEN;50DO;50;21; 0'33"36;29"60;31"70;32"50;33"00;34"30;35"30
M;M20;50DO;50;32; 0'31"20;29"50;29"90;30"50;31"60;31"80;32"20
M;M25;50DO;50;39; 0'33"18;29"20;31"00;32"80;32"90;33"80;35"40
M;M30;50DO;50;22; 0'34"64;32"60;33"70;34"80;34"80;34"90;35"00
M;M35;50DO;50;24; 0'36"64;32"10;32"60;37"30;37"40;37"70;38"20
M;M40;50DO;50;31; 0'36"10;32"90;35"60;35"70;36"00;36"10;37"10
M;M45;50DO;50;18; 0'38"22;36"50;37"60;38"00;38"50;38"50;38"50
M;M50;50DO;50;12; 0'40"86;34"70;38"30;40"60;41"00;41"50;42"90
M;OVER;50DO;50;5; 0'49"22;44"50;45"20;45"30;51"20;59"90
M;SEN;100DO;50;21; 1'13"52;1'10"70;1'11"20;1'11"40;1'12"00;1'15"30;1'17"70
M;M20;100DO;50;49; 1'08"32;1'04"50;1'07"40;1'08"00;1'08"30;1'08"30;1'09"60
M;M25;100DO;50;50; 1'09"90;1'03"00;1'08"40;1'09"30;1'10"50;1'10"60;1'10"70
M;M30;100DO;50;56; 1'11"52;1'09"30;1'10"50;1'11"20;1'11"80;1'11"90;1'12"20
M;M35;100DO;50;31; 1'15"52;1'12"30;1'13"30;1'14"60;1'16"10;1'16"10;1'17"50
M;M40;100DO;50;31; 1'16"94;1'10"30;1'10"60;1'14"80;1'15"50;1'21"50;1'22"30
M;M45;100DO;50;34; 1'20"64;1'18"70;1'19"20;1'19"80;1'19"80;1'21"80;1'22"60
M;M50;100DO;50;20; 1'21"82;1'15"50;1'16"70;1'21"10;1'22"60;1'23"50;1'25"20
M;OVER;100DO;50;12; 1'41"58;1'24"30;1'39"90;1'41"40;1'41"90;1'42"00;1'42"70
M;SEN;200DO;50;3; 2'46"46;2'30"20;2'54"40;2'54"80
M;M20;200DO;50;5; 2'37"94;2'21"20;2'24"40;2'39"20;2'39"50;3'05"40
M;M25;200DO;50;3; 2'59"76;2'42"20;2'52"60;3'24"50
M;M30;200DO;50;7; 2'57"92;2'29"70;2'49"20;2'50"50;2'56"80;3'04"50;3'08"60
M;M35;200DO;50;4; 3'12"45;3'02"40;3'03"60;3'04"40;3'39"40
M;M40;200DO;50;3; 3'10"16;3'07"10;3'10"90;3'12"50
M;M45;200DO;50;2; 3'20"75;3'04"30;3'37"20
M;M50;200DO;50;3; 3'16"36;2'51"40;3'25"40;3'32"30
M;OVER;200DO;50;1; 3'53"30;3'53"30
M;SEN;50RA;50;1; 0'50"50;50"50
M;M20;50RA;50;39; 0'36"28;35"00;35"00;35"80;36"50;36"80;37"30
M;M25;50RA;50;22; 0'37"62;35"00;36"00;36"90;38"00;38"60;38"60
M;M30;50RA;50;26; 0'36"08;32"70;34"90;35"40;35"60;37"00;37"50
M;M35;50RA;50;18; 0'37"32;34"80;35"60;36"00;37"00;38"80;39"20
M;M40;50RA;50;14; 0'39"44;34"90;38"20;38"40;38"80;40"60;41"20
M;M45;50RA;50;18; 0'38"48;35"10;37"40;38"00;38"40;38"90;39"70
M;M50;50RA;50;9; 0'40"72;39"90;40"00;40"50;40"70;41"20;41"20
M;OVER;50RA;50;2; 0'56"20;48"20;1'04"20
M;SEN;100RA;50;39; 1'22"38;1'12"80;1'17"90;1'21"60;1'22"60;1'23"80;1'26"00
M;M20;100RA;50;61; 1'19"64;1'17"20;1'18"90;1'19"20;1'19"60;1'19"70;1'20"80
M;M25;100RA;50;63; 1'20"40;1'17"10;1'19"50;1'19"90;1'20"40;1'21"00;1'21"20
M;M30;100RA;50;80; 1'18"26;1'17"00;1'17"10;1'17"60;1'18"00;1'18"80;1'19"80
M;M35;100RA;50;65; 1'23"46;1'21"20;1'23"00;1'23"20;1'23"20;1'23"20;1'24"70
M;M40;100RA;50;50; 1'23"04;1'19"70;1'22"60;1'22"60;1'22"70;1'22"80;1'24"50
M;M45;100RA;50;48; 1'22"08;1'19"60;1'20"60;1'20"90;1'21"00;1'23"00;1'24"90
M;M50;100RA;50;23; 1'33"56;1'25"50;1'26"80;1'33"30;1'35"30;1'36"10;1'36"30
M;OVER;100RA;50;11; 1'40"70;1'35"30;1'38"70;1'39"50;1'40"60;1'41"30;1'43"40
M;SEN;200MI;50;26; 2'26"70;2'21"80;2'22"50;2'24"90;2'25"40;2'28"10;2'32"60
M;M20;200MI;50;49; 2'30"38;2'25"90;2'27"70;2'27"80;2'31"20;2'32"60;2'32"60
M;M25;200MI;50;34; 2'33"84;2'32"10;2'32"20;2'32"50;2'33"20;2'34"00;2'37"30
M;M30;200MI;50;39; 2'44"04;2'38"60;2'39"50;2'42"30;2'45"40;2'46"30;2'46"70
M;M35;200MI;50;25; 2'45"48;2'33"60;2'40"30;2'45"80;2'45"90;2'46"60;2'48"80
M;M40;200MI;50;28; 2'48"28;2'31"50;2'32"20;2'48"90;2'52"90;2'53"70;2'53"70
M;M45;200MI;50;16; 2'52"08;2'38"90;2'46"40;2'51"90;2'52"70;2'54"40;2'55"00
M;M50;200MI;50;14; 3'19"30;2'59"40;3'01"30;3'15"50;3'24"11;3'27"10;3'28"50
M;OVER;200MI;50;13; 3'39"78;3'08"80;3'24"50;3'27"70;3'33"80;3'40"40;4'12"50
M;M20;400MI;50;8; 5'48"96;5'23"30;5'27"90;5'42"20;5'55"00;5'57"20;6'02"50
M;M25;400MI;50;6; 6'22"98;5'39"40;5'43"70;6'00"60;6'18"50;6'29"30;7'22"80
M;M30;400MI;50;5; 6'59"06;6'41"00;6'42"80;6'53"50;7'04"40;7'33"60
M;M35;400MI;50;4; 6'29"60;5'46"10;6'18"10;6'48"00;7'06"20
M;M40;400MI;50;4; 6'58"40;6'38"30;6'52"80;7'07"80;7'14"70
M;M45;400MI;50;1; 5'54"20;5'54"20
M;OVER;400MI;50;1; 9'16"00;9'16"00
F;SEN;50SL;25;152; 0'30"36;30"00;30"10;30"10;30"50;30"50;30"60
F;M20;50SL;25;303; 0'29"10;28"40;28"80;29"10;29"10;29"20;29"30
F;M25;50SL;25;243; 0'29"52;28"10;29"20;29"20;29"50;29"70;30"00
F;M30;50SL;25;201; 0'30"06;00"00;29"70;29"80;30"00;30"20;30"60
F;M35;50SL;25;139; 0'30"64;30"40;30"40;30"50;30"70;30"80;30"80
F;M40;50SL;25;103; 0'32"06;31"00;31"70;32"00;32"10;32"20;32"30
F;M45;50SL;25;80; 0'31"76;30"20;30"50;30"90;31"80;32"80;32"80
